target_col,feature_label,split_type,split_id,model_name,task_type,n,p,n_train,n_test,selected_hyperparameters,hyperparameter_tuning_enabled,hyperparameter_tuning_metric,eval_group,frontier_idx,segment_min,segment_max,segments_included,data_size_n,test_segment,test_spearman,test_pearson,test_r2,test_mae,test_rmse,train_spearman,train_pearson,train_r2,train_mae,train_rmse
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,3,ridge,regression,380,1319,304,76,"{""alpha"": 0.0195172246414495, ""max_iter"": 1000}",True,spearman,all_data,,,,,380,,0.0149,0.064,-0.2441,7.5248,13.3924,0.5932,0.9636,0.8957,2.1184,3.2956
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,4,ridge,regression,380,1319,304,76,"{""alpha"": 0.0195172246414495, ""max_iter"": 1000}",True,spearman,all_data,,,,,380,,0.1744,0.2132,-1.9642,6.1476,8.1642,0.5606,0.9574,0.8856,2.5186,3.9213
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,0,mlp_pytorch,regression,380,1319,304,76,"{""batch_size"": 64, ""device"": ""cpu"", ""hidden_size"": 224, ""learning_rate"": 0.00022948683681130568, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,380,,0.0615,0.1437,-0.0096,7.2277,13.9602,-0.0277,0.0334,-0.2241,6.2346,10.6219
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,1,mlp_pytorch,regression,380,1319,304,76,"{""batch_size"": 64, ""device"": ""cpu"", ""hidden_size"": 224, ""learning_rate"": 0.00022948683681130568, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,380,,-0.0256,-0.0664,-1.8327,4.8513,5.8226,-0.0068,0.0685,-0.0668,5.8287,12.0845
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,2,mlp_pytorch,regression,380,1319,304,76,"{""batch_size"": 64, ""device"": ""cpu"", ""hidden_size"": 224, ""learning_rate"": 0.00022948683681130568, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,380,,-0.097,0.1052,-0.0435,6.1328,13.8748,0.0111,0.0402,-0.1332,4.9156,10.317
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,3,mlp_pytorch,regression,380,1319,304,76,"{""batch_size"": 64, ""device"": ""cpu"", ""hidden_size"": 224, ""learning_rate"": 0.00022948683681130568, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,380,,0.1039,-0.0448,-0.1081,5.2175,12.6392,-0.0149,0.1009,-0.0361,4.8015,10.3898
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,4,mlp_pytorch,regression,380,1319,304,76,"{""batch_size"": 64, ""device"": ""cpu"", ""hidden_size"": 224, ""learning_rate"": 0.00022948683681130568, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,380,,-0.0952,0.028,-0.6331,4.4858,6.0599,0.0133,0.0639,-0.085,5.3484,12.0775
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,0,ridge,regression,551,1281,440,111,"{""alpha"": 0.20890406240632287, ""max_iter"": 1000}",True,spearman,all_data,,,,,551,,0.5128,0.5339,0.2806,6.3102,8.0669,0.7242,0.7279,0.4893,5.4536,6.9758
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,1,ridge,regression,551,1281,441,110,"{""alpha"": 0.20890406240632287, ""max_iter"": 1000}",True,spearman,all_data,,,,,551,,0.4225,0.4269,0.1517,6.9684,8.4102,0.733,0.7397,0.5064,5.3589,6.9088
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,2,ridge,regression,551,1281,441,110,"{""alpha"": 0.20890406240632287, ""max_iter"": 1000}",True,spearman,all_data,,,,,551,,0.5419,0.5383,0.2798,6.8942,8.8615,0.6998,0.7252,0.4841,5.2984,6.8248
